PLAYER_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
Mike Scott,Atlanta,Hawks,ATL,1,F,79.0,237.0,Virginia,USA,2012.0,2.0,43.0,0.0,6.7,3.1,0.9,Career,2012,2020
Ray Scott,Detroit,Pistons,DET,31,F,81.0,215.0,Portland,USA,1961.0,1.0,4.0,0.0,14.9,10.5,2.4,Career,1961,1969
Shawnelle Scott,Cleveland,Cavaliers,CLE,36,C,83.0,250.0,St. John's (NY),USA,1994.0,2.0,43.0,0.0,1.8,2.2,0.2,Career,1996,2001
Trevon Scott,Cleveland,Cavaliers,CLE,12,F,80.0,225.0,Cincinnati,USA,,,0.0,0.0,3.0,1.0,0.0,Career,2021,2021
Jay Scrubb,Orlando,Magic,ORL,0,G,77.0,220.0,John A. Logan,USA,2020.0,2.0,55.0,0.0,4.0,1.5,0.4,Career,2020,2022
Carey Scurry,Utah,Jazz,UTA,20,F,79.0,188.0,Long Island-Brooklyn,USA,1985.0,2.0,37.0,0.0,4.7,2.9,1.1,Career,1985,1987
Dereon Seabron,Detroit,Pistons,DET,0,G,77.0,180.0,North Carolina State,USA,,,0.0,0.0,1.6,0.7,0.5,Career,2022,2023
Bruce Seals,Oklahoma City,Thunder,OKC,45,F,80.0,210.0,Xavier of Louisiana,USA,1975.0,2.0,21.0,0.0,10.3,4.6,1.2,Career,1975,1977
Shea Seals,Los Angeles,Lakers,LAL,24,G,77.0,210.0,Tulsa,USA,,,0.0,0.0,1.0,1.0,0.0,Career,1997,1997
Malik Sealy,LA,Clippers,LAC,2,G-F,80.0,200.0,St. John's (NY),USA,1992.0,1.0,14.0,0.0,10.1,3.2,1.7,Career,1992,1999
Ed Searcy,Boston,Celtics,BOS,32,F,78.0,210.0,St. John's (NY),USA,1974.0,2.0,82.0,0.0,1.5,0.0,0.3,Career,1975,1975
Ken Sears,New York,Knicks,NYK,17,F,81.0,198.0,Santa Clara,USA,1955.0,1.0,4.0,0.0,13.9,7.8,1.6,Career,1955,1963
Thabo Sefolosha,Oklahoma City,Thunder,OKC,18,F-G,78.0,215.0,Angelico Biella,Switzerland,2006.0,1.0,13.0,0.0,5.7,3.7,1.4,Career,2006,2019
Rony Seikaly,Miami,Heat,MIA,2,C,83.0,253.0,Syracuse,USA,1988.0,1.0,9.0,0.0,14.7,9.5,1.3,Career,1988,1998
Josh Selby,Memphis,Grizzlies,MEM,2,G,74.0,183.0,Kansas,USA,2011.0,2.0,49.0,0.0,2.2,0.5,0.9,Career,2011,2012
Wayne Selden,New York,Knicks,NYK,14,G-F,77.0,230.0,Kansas,USA,2016.0,,0.0,0.0,7.2,2.0,1.5,Career,2016,2021
Brad Sellers,Chicago,Bulls,CHI,4,F,84.0,210.0,Ohio State,USA,1986.0,1.0,9.0,0.0,6.3,2.7,1.1,Career,1986,1992
Phil Sellers,Detroit,Pistons,DET,11,F,76.0,195.0,Rutgers,USA,1976.0,2.0,38.0,0.0,4.5,0.9,0.6,Career,1976,1976
Frank Selvy,Los Angeles,Lakers,LAL,11,G,74.0,180.0,Furman,USA,1954.0,1.0,1.0,0.0,10.8,3.7,2.8,Career,1954,1963
Jim Seminoff,Boston,Celtics,BOS,15,G,74.0,190.0,Southern California,USA,,,0.0,0.0,6.5,0.0,2.7,Career,1946,1949
Mouhamed Sene,Oklahoma City,Thunder,OKC,18,C,83.0,230.0,Verviers-Pepinster,Senegal,2006.0,1.0,10.0,0.0,2.2,1.6,0.0,Career,2006,2008
George Senesky,Golden State,Warriors,GSW,8,G,74.0,179.0,St. Joseph's (PA),USA,,,0.0,0.0,7.2,3.5,3.2,Career,1946,1953
Alperen Sengun,Houston,Rockets,HOU,28,C,83.0,243.0,Besiktas,Turkey,2021.0,1.0,16.0,1.0,19.1,10.3,4.9,Season,2021,2024
Brice Sensabaugh,Utah,Jazz,UTA,28,F,77.0,235.0,Ohio State,USA,2023.0,1.0,28.0,1.0,10.9,3.0,1.5,Season,2023,2024
Kevin Seraphin,Washington,Wizards,WAS,1,F-C,82.0,278.0,Cholet,France,2010.0,1.0,17.0,0.0,5.9,3.5,0.6,Career,2010,2016
Ansu Sesay,Oklahoma City,Thunder,OKC,5,F,81.0,225.0,Mississippi,USA,1998.0,2.0,30.0,0.0,3.2,1.8,0.5,Career,2001,2004
Ramon Sessions,Charlotte,Hornets,CHA,9,G,75.0,190.0,Nevada-Reno,USA,2007.0,2.0,56.0,0.0,10.3,2.7,4.1,Career,2007,2017
Tom Sewell,Washington,Wizards,WAS,32,G,77.0,185.0,Lamar,USA,1984.0,1.0,22.0,0.0,1.0,0.2,0.3,Career,1984,1984
Collin Sexton,Utah,Jazz,UTA,2,G,75.0,190.0,Alabama,USA,2018.0,1.0,8.0,1.0,18.4,2.7,4.2,Season,2018,2024
Paul Seymour,Philadelphia,76ers,PHI,5,G,73.0,180.0,Toledo,USA,,,0.0,0.0,9.4,3.1,3.8,Career,1947,1959
Charles Shackleford,Brooklyn,Nets,BKN,33,C,83.0,245.0,North Carolina State,USA,1988.0,2.0,32.0,0.0,5.4,4.8,0.6,Career,1988,1998
Lee Shaffer,Philadelphia,76ers,PHI,22,F,79.0,220.0,North Carolina,USA,1960.0,1.0,5.0,0.0,16.8,6.3,1.2,Career,1961,1963
Mustafa Shakur,Washington,Wizards,WAS,22,G,76.0,195.0,Arizona,USA,,,0.0,0.0,2.1,0.9,1.2,Career,2009,2013
Landry Shamet,New York,Knicks,NYK,44,G,76.0,190.0,Wichita State,USA,2018.0,1.0,26.0,1.0,5.7,1.2,0.5,Season,2018,2024
God Shammgod,Washington,Wizards,WAS,2,G,72.0,169.0,Providence,USA,1997.0,2.0,45.0,0.0,3.1,0.4,1.8,Career,1997,1997
